"# This file contains the energy consumption and yields of your device ""aroTHERM plus"" with serial 21222500100211330001005519N3 exported at 2024-07-13 19:55:28.",,,,,,,,,
# All values are given in Watt hours (Wh),,,,,,,,,
DateTime,,EarnedEnvironmentEnergy:Heating,EarnedEnvironmentEnergy:DomesticHotWater,ConsumedElectricalEnergy:Heating,ConsumedElectricalEnergy:DomesticHotWater,HeatGenerated:Heating,HeatGenerated:DomesticHotWater,COP,COP (sanitised)
2023-12-01 00:00:00,2023-12-01,45000,4000,19999.8,3000,64999.8,7000,3.130453308,3.130453308
2023-12-02 00:00:00,2023-12-02,43000,6000,20000.1,5000,63000.1,11000,2.95999216,2.95999216
2023-12-03 00:00:00,2023-12-03,25300.6,7000,9300.4,3000,34600.9,10000,3.625971513,3.625971513
2023-12-04 00:00:00,2023-12-04,25699.4,6000,8699.7,3000,34399.2,9000,3.709428447,3.709428447
2023-12-05 00:00:00,2023-12-05,27300.6,8000,9300.3,5000,36600.8,13000,3.468514647,3.468514647
2023-12-06 00:00:00,2023-12-06,33699.4,12000,12000,6000,45699.4,18000,3.538855556,3.538855556
2023-12-07 00:00:00,2023-12-07,28300.5,11000,9000,5000,37300.5,16000,3.807178571,3.807178571
2023-12-08 00:00:00,2023-12-08,27000.1,8000,8000,4000,35000.1,12000,3.916675,3.916675
2023-12-09 00:00:00,2023-12-09,19000,8000,6000,4000,25000,12000,3.7,3.7
2023-12-10 00:00:00,2023-12-10,12300.6,11000,4000,5000,16300.6,16000,3.588955556,3.588955556
2023-12-11 00:00:00,2023-12-11,16699.4,7000,6000,3000,22699.4,10000,3.633266667,3.633266667
2023-12-12 00:00:00,2023-12-12,18000,7000,6000,4000,24000,11000,3.5,3.5
2023-12-13 00:00:00,2023-12-13,25699.4,6000,8699.7,4000,34399.2,10000,3.496082585,3.496082585
2023-12-14 00:00:00,2023-12-14,23000,8000,8000,4000,31000,12000,3.583333333,3.583333333
2023-12-15 00:00:00,2023-12-15,18300.6,8000,6300.3,5000,24600.8,13000,3.327416086,3.327416086
2023-12-16 00:00:00,2023-12-16,10300.6,12000,3000,5000,13300.6,17000,3.787575,3.787575
2023-12-17 00:00:00,2023-12-17,8699.4,6000,3000,3000,11699.4,9000,3.4499,3.4499
2023-12-18 00:00:00,2023-12-18,8000,9000,3000,3000,11000,12000,3.833333333,3.833333333
2023-12-19 00:00:00,2023-12-19,12000,7000,3699.7,4000,15699.7,11000,3.467628609,3.467628609
2023-12-20 00:00:00,2023-12-20,15999.9,8000,5300.3,4000,21300.2,12000,3.580551165,3.580551165
2023-12-21 00:00:00,2023-12-21,10000.1,6000,3000,3000,13000.1,9000,3.666683333,3.666683333
2023-12-22 00:00:00,2023-12-22,8300.6,14398.9,3000,6699.7,11300.6,21098.6,3.340227017,3.340227017
2023-12-23 00:00:00,2023-12-23,4699.4,6601.1,2000,3300.3,6699.4,9901.4,3.132049129,3.132049129
2023-12-24 00:00:00,2023-12-24,6300.6,7000,2000,3000,8300.6,10000,3.66012,3.66012
2023-12-25 00:00:00,2023-12-25,1000,8000,1000,4000,2000,12000,2.8,2.8
2023-12-26 00:00:00,2023-12-26,13699.4,5000,4000,2000,17699.4,7000,4.116566667,4.116566667
2023-12-27 00:00:00,2023-12-27,18000,5000,6000,4000,24000,9000,3.3,3.3
2023-12-28 00:00:00,2023-12-28,16000,7000,5000,3000,21000,10000,3.875,3.875
2023-12-29 00:00:00,2023-12-29,13000,9000,4699.6,4000,17699.6,13000,3.528851901,3.528851901
2023-12-30 00:00:00,2023-12-30,19000,5000,6300.4,3000,25300.4,8000,3.580534171,3.580534171
2023-12-31 00:00:00,2023-12-31,21000,7000,7000,4000,28000,11000,3.545454545,3.545454545
2024-01-01 00:00:00,2024-01-01,19000,7000,6000,4000,25000,11000,3.6,3.6
2024-01-02 00:00:00,2024-01-02,15000,7000,5000,4000,20000,11000,3.444444444,3.444444444
2024-01-03 00:00:00,2024-01-03,18000,7000,6000,3000,24000,10000,3.777777778,3.777777778
2024-01-04 00:00:00,2024-01-04,23999.7,8000,8000,4000,31999.7,12000,3.666641667,3.666641667
2024-01-05 00:00:00,2024-01-05,25999.5,10000,9000,6000,34999.5,16000,3.399966667,3.399966667
2024-01-06 00:00:00,2024-01-06,30000.8,7000,10000,4000,40000.8,11000,3.642914286,3.642914286
2024-01-07 00:00:00,2024-01-07,35699.3,6000,13699.6,4000,49398.9,10000,3.355945897,3.355945897
2024-01-08 00:00:00,2024-01-08,35000.2,7000,13000.1,4000,48000.3,11000,3.470585467,3.470585467
2024-01-09 00:00:00,2024-01-09,36300.6,12699.4,14300.3,7699.4,50600.8,20398.9,3.2273031,3.2273031
2024-01-10 00:00:00,2024-01-10,44000,6300.6,17000,3300.6,61000,9601.1,3.477783908,3.477783908
2024-01-11 00:00:00,2024-01-11,34000,8000,12699.7,5000,46699.7,13000,3.372921575,3.372921575
2024-01-12 00:00:00,2024-01-12,27999.9,8000,9999.9,5000,37999.8,13000,3.400009333,3.400009333
2024-01-13 00:00:00,2024-01-13,36000.1,7000,14000.1,5000,50000.2,12000,3.263151247,3.263151247
2024-01-14 00:00:00,2024-01-14,34699.3,7000,11999.9,3000,46699.2,10000,3.779971866,3.779971866
2024-01-15 00:00:00,2024-01-15,35000.2,9000,13300.4,6000,48300.5,15000,3.279750679,3.279750679
2024-01-16 00:00:00,2024-01-16,36648.6,8000,16047.5,5000,52696.1,13000,3.121325573,3.121325573
2024-01-17 00:00:00,2024-01-17,37728.6,8000,16340.6,6000,54069.2,14000,3.046883253,3.046883253
2024-01-18 00:00:00,2024-01-18,44000,7000,23000,5000,67000,12000,2.821428571,2.821428571
2024-01-19 00:00:00,2024-01-19,41000,9000,19000,6000,60000,15000,3,3
2024-01-20 00:00:00,2024-01-20,29611.9,7000,10611.9,4000,40223.9,11000,3.505628974,3.505628974
2024-01-21 00:00:00,2024-01-21,13000,9000,4000,4000,17000,13000,3.75,3.75
2024-01-22 00:00:00,2024-01-22,17000,7000,6000,3000,23000,10000,3.666666667,3.666666667
2024-01-23 00:00:00,2024-01-23,15000,9000,5000,5000,20000,14000,3.4,3.4
2024-01-24 00:00:00,2024-01-24,14000,9000,5000,5000,19000,14000,3.3,3.3
